Parâmetros do cálculo
Valor do empréstimo,"R$ 1.000,00"
Número de parcelas,12
Taxa de juros,2.0% ao mês
Sistema,Tabela Price
Data primeira parcela,03/03/2025

Parcela,Data,Valor,Amortização,Juros,Saldo
1,03/03/2025,"R$ 94,56","R$ 74,56","R$ 20,00","R$ 925,44"
2,02/04/2025,"R$ 94,56","R$ 76,05","R$ 18,51","R$ 849,39"
3,02/05/2025,"R$ 94,56","R$ 77,57","R$ 16,99","R$ 771,82"
4,01/06/2025,"R$ 94,56","R$ 79,12","R$ 15,44","R$ 692,69"
5,01/07/2025,"R$ 94,56","R$ 80,71","R$ 13,85","R$ 611,99"
6,31/07/2025,"R$ 94,56","R$ 82,32","R$ 12,24","R$ 529,67"
7,30/08/2025,"R$ 94,56","R$ 83,97","R$ 10,59","R$ 445,70"
8,29/09/2025,"R$ 94,56","R$ 85,65","R$ 8,91","R$ 360,06"
9,29/10/2025,"R$ 94,56","R$ 87,36","R$ 7,20","R$ 272,70"
10,28/11/2025,"R$ 94,56","R$ 89,11","R$ 5,45","R$ 183,59"
11,28/12/2025,"R$ 94,56","R$ 90,89","R$ 3,67","R$ 92,71"
12,27/01/2026,"R$ 94,56","R$ 92,71","R$ 1,85","R$ 0,00"

Totais,,"R$ 1.134,72","R$ 1.000,00","R$ 134,72",
